Time $t$ [s]	$T_{ref}$	$T_{all}$
2.6752	1.466531207	1.355597226
2.6753	1.466531207	1.355597226
2.6754	1.466531207	1.355597226
2.6755	1.466531207	1.355597226
2.6756	1.466531207	1.366849489
2.6757	1.466531207	1.366849489
2.6758	1.466531207	1.366849489
2.6759	1.466531207	1.366849489
2.676	1.466531207	1.366849489
2.6761	1.466531207	1.382019176
2.6762	1.466531207	1.382019176
2.6763	1.466531207	1.382019176
2.6764	1.466531207	1.382019176
2.6765	1.466531207	1.382019176
2.6766	1.466531207	1.398744758
2.6767	1.466531207	1.398744758
2.6768	1.466531207	1.398744758
2.6769	1.466531207	1.398744758
2.677	1.466531207	1.398744758
2.6771	1.466531207	1.415997884
2.6772	1.466531207	1.415997884
2.6773	1.466531207	1.415997884
2.6774	1.466531207	1.415997884
2.6775	1.466531207	1.415997884
2.6776	1.466531207	1.435318724
2.6777	1.466531207	1.435318724
2.6778	1.466531207	1.435318724
2.6779	1.466531207	1.435318724
2.678	1.466531207	1.435318724
2.6781	1.466531207	1.459636427
2.6782	1.466531207	1.459636427
2.6783	1.466531207	1.459636427
2.6784	1.466531207	1.459636427
2.6785	1.466531207	1.459636427
2.6786	1.466531207	1.487305856
2.6787	1.466531207	1.487305856
2.6788	1.466531207	1.487305856
2.6789	1.466531207	1.487305856
2.679	1.466531207	1.487305856
2.6791	1.466531207	1.516617348
2.6792	1.466531207	1.516617348
2.6793	1.466531207	1.516617348
2.6794	1.466531207	1.516617348
2.6795	1.466531207	1.516617348
2.6796	1.466531207	1.543551739
2.6797	1.466531207	1.543551739
2.6798	1.466531207	1.543551739
2.6799	1.466531207	1.543551739
2.68	1.466531207	1.543551739
2.6801	1.466531207	1.561940784
2.6802	1.466531207	1.561940784
2.6803	1.466531207	1.561940784
2.6804	1.466531207	1.561940784
2.6805	1.466531207	1.561940784
2.6806	1.466531207	1.572245085
2.6807	1.466531207	1.572245085
2.6808	1.466531207	1.572245085
2.6809	1.466531207	1.572245085
2.681	1.466531207	1.572245085
2.6811	1.466531207	1.578385723
2.6812	1.466531207	1.578385723
2.6813	1.466531207	1.578385723
2.6814	1.466531207	1.578385723
2.6815	1.466531207	1.578385723
2.6816	1.466531207	1.586097092
2.6817	1.466531207	1.586097092
2.6818	1.466531207	1.586097092
2.6819	1.466531207	1.586097092
2.682	1.466531207	1.586097092
2.6821	1.466531207	1.594399285
2.6822	1.466531207	1.594399285
2.6823	1.466531207	1.594399285
2.6824	1.466531207	1.594399285
2.6825	1.466531207	1.594399285
2.6826	1.466531207	1.603386332
2.6827	1.466531207	1.603386332
2.6828	1.466531207	1.603386332
2.6829	1.466531207	1.603386332
2.683	1.466531207	1.603386332
2.6831	1.466531207	1.610410604
2.6832	1.466531207	1.610410604
2.6833	1.466531207	1.610410604
2.6834	1.466531207	1.610410604
2.6835	1.466531207	1.610410604
2.6836	1.466531207	1.611526855
2.6837	1.466531207	1.611526855
2.6838	1.466531207	1.611526855
2.6839	1.466531207	1.611526855
2.684	1.466531207	1.611526855
2.6841	1.466531207	1.606268024
2.6842	1.466531207	1.606268024
2.6843	1.466531207	1.606268024
2.6844	1.466531207	1.606268024
2.6845	1.466531207	1.606268024
2.6846	1.466531207	1.601711577
2.6847	1.466531207	1.601711577
2.6848	1.466531207	1.601711577
2.6849	1.466531207	1.601711577
2.685	1.466531207	1.601711577
